sueldo_id,empleado_id,periodo,monto,moneda,tipo
S000054,E1002,Jun 2024,570870.4,ARS,ajuste
S000055,E1002,01/07/2024,570321.43,ARS,normal
S000056,E1002,2024/08/01,$572478.69,ARS,normal
S000057,E1002,Sep 2024,551803.99,ARS,normal
S000058,E1002,01/10/2024,567076.74,ARS,normal
S000059,E1002,Nov 2024,569927.58,ARS,normal
S000060,E1002,2024-12-01,551502.05,ARS,normal
S000061,E1002,01/01/2025,671895.02,ARS,normal
S000062,E1002,Feb 2025,624980.06,ARS,normal
S000063,E1002,01/03/2025,680947.55,ARS,normal
S000064,E1002,Apr 2025,687334.61,ARS,normal
S000065,E1002,May 2025,654524.72,ARS,normal
S000066,E1002,2025/06/01,629611.64,ARS,normal
S000067,E1002,2025-07-01,667510.39,ARS,normal
S000068,E1002,01/08/2025,686118.65,ARS,normal
S000069,E1002,2025/09/01,663643.56,ARS,normal
S000070,E1002,2025-10-01,684555.91,ARS,normal
S000071,E1002,01/11/2025,649487.19,ARS,normal
S000072,E1002,2025-12-01,679616.6,ARS,normal
S000073,E1003,2023/01/01,2835.18,USD,ajuste
S000074,E1003,Feb 2023,2796.53,USD,normal
S000075,E1003,Mar 2023,2927.61,USD,normal
S000076,E1003,01/04/2023,2857.83,USD,normal
S000077,E1003,2023/05/01,2899.55,USD,normal
S000078,E1003,2023-06-01,1809.16,USD,bonus
S000079,E1003,Jul 2023,2811.36,USD,normal
S000080,E1003,2023-08-01,2780.99,USD,normal
S000081,E1003,01/09/2023,2835.39,USD,normal
S000082,E1003,2023-10-01,2776.44,USD,normal
S000083,E1003,01/11/2023,2889.59,USD,normal
S000084,E1003,2023-12-01,2903.09,USD,normal
S000085,E1003,2024/01/01,2695.25,USD,bonus
S000086,E1003,2024-02-01,2683.85,USD,bonus
S000087,E1003,2024-03-01,3375.51,USD,normal
S000088,E1003,2024-04-01,3155.52,USD,normal
S000089,E1003,May 2024,$3403.64,USD,normal
S000090,E1003,Jun 2024,3133.18,USD,normal
S000091,E1003,01/07/2024,3259.27,USD,normal
S000092,E1003,01/08/2024,3134.93,USD,normal
S000093,E1003,Sep 2024,3102.78,USD,normal
S000094,E1003,2024/10/01,3155.42,USD,normal
S000095,E1003,01/11/2024,3316.45,USD,normal
S000096,E1003,2024/12/01,2256.09,USD,bonus
S000097,E1003,Jan 2025,3481.25,USD,normal
S000098,E1003,2025/02/01,3589.36,USD,normal
S000099,E1003,2025-03-01,3758.83,USD,normal
S000100,E1003,01/04/2025,3557.9,USD,normal
S000101,E1003,2025/05/01,3613.81,USD,ajuste
S000102,E1003,2025-06-01,3755.91,USD,normal
S000103,E1003,2025-07-01,3812.78,USD,normal
S000104,E1003,01/08/2025,3686.68,USD,normal
S000105,E1003,2025/09/01,3726.06,USD,normal
S000106,E1003,2025/10/01,3643.02,USD,normal
S000107,E1003,2025-11-01,3772.4,USD,normal
S000108,E1003,2025-12-01,3688.73,USD,normal
S000109,E1004,2023/01/01,2922.59,USD,normal
S000110,E1004,2023/02/01,2886.49,USD,normal
S000111,E1004,2023/03/01,2929.03,USD,normal
S000112,E1004,Apr 2023,2822.8,USD,normal
S000113,E1004,01/05/2023,2706.96,USD,normal
S000114,E1004,2023/06/01,2801.34,USD,ajuste
S000115,E1004,Jul 2023,2768.49,USD,normal
S000116,E1004,2023/08/01,2680.22,USD,normal
S000117,E1004,2023-09-01,2738.83,USD,normal
S000118,E1004,2023-10-01,2868.9,USD,normal
S000119,E1004,2023-11-01,2822.92,USD,normal
S000120,E1004,Dec 2023,2928.83,USD,normal
S000121,E1004,01/01/2024,3132.53,USD,normal
S000122,E1004,01/02/2024,3046.62,USD,normal
S000123,E1004,2024/03/01,3161.53,USD,normal
S000124,E1004,2024/04/01,2913.04,USD,normal
S000125,E1004,01/05/2024,2936.03,USD,normal
S000126,E1004,01/06/2024,3160.17,USD,normal
S000127,E1004,2024/07/01,2891.87,USD,normal
S000128,E1004,Aug 2024,2925.5,USD,normal
S000129,E1004,01/09/2024,2889.97,USD,normal
S000130,E1004,2024-10-01,3156.92,USD,normal
S000131,E1004,2024/11/01,3093.48,USD,normal
S000132,E1004,01/12/2024,2987.74,USD,normal
S000133,E1004,Jan 2025,3284.12,USD,normal
S000134,E1004,2025/02/01,3431.87,USD,normal
S000135,E1004,2025-03-01,3268.68,USD,normal
S000136,E1004,2025/04/01,3251.31,USD,normal
S000137,E1004,01/05/2025,3354.24,USD,normal
S000138,E1004,2025/06/01,3250.16,USD,normal
S000139,E1004,Jul 2025,3220.49,USD,normal
S000140,E1004,2025-08-01,3469.87,USD,normal
S000141,E1004,2025-09-01,3436.92,USD,normal
S000142,E1004,01/10/2025,A confirmar,USD,normal
S000143,E1004,2025/11/01,3288.76,USD,normal
S000144,E1004,2025-12-01,3301.46,USD,normal
S000145,E1005,2023/01/01,1228288.51,ARS,normal
S000146,E1005,01/02/2023,1142913.06,ARS,normal
S000147,E1005,2023/03/01,1173655.79,ARS,normal
S000148,E1005,01/04/2023,1160408.01,ARS,normal
S000149,E1005,2023-05-01,1249549.79,ARS,normal
S000150,E1005,2023-06-01,1138125.4,ARS,normal
S000151,E1005,Jul 2023,1208250.07,ARS,normal
S000152,E1005,2023-08-01,1194345.48,ARS,normal
S000153,E1005,Sep 2023,1198945.68,ARS,normal
S000154,E1005,2023-10-01,1238549.43,ARS,normal
S000155,E1005,01/11/2023,1156114.51,ARS,normal
S000156,E1005,01/12/2023,1140605.34,ARS,normal
S000157,E1005,2024/01/01,1336575.2,ARS,normal
S000158,E1005,Feb 2024,1361015.74,ARS,ajuste
S000159,E1005,2024/03/01,1309955.73,ARS,normal
S000160,E1005,2024/04/01,1368920.87,ARS,normal
S000161,E1005,2024/05/01,1117984.43,ARS,bonus
S000162,E1005,2024-06-01,1359544.12,ARS,normal
S000163,E1005,2024/07/01,1285153.81,ARS,normal
S000164,E1005,Aug 2024,1305652.66,ARS,normal
S000165,E1005,2024/09/01,1321987.79,ARS,normal
S000166,E1005,Oct 2024,1344077.99,ARS,normal
S000167,E1005,01/11/2024,1368337.94,ARS,normal
S000168,E1005,Dec 2024,1283098.9,ARS,normal
S000169,E1005,2025-01-01,1405744.85,ARS,normal
S000170,E1005,01/02/2025,1433867.66,ARS,normal
S000171,E1005,2025/03/01,1419507.11,ARS,normal
S000172,E1005,01/04/2025,1479723.79,ARS,normal
S000173,E1005,01/05/2025,1431458.8,ARS,normal
S000174,E1005,2025/06/01,1462435.89,ARS,normal
S000175,E1005,2025/07/01,1402954.5,ARS,normal
S000176,E1005,01/08/2025,1505800.94,ARS,normal
S000177,E1005,2025/09/01,1225300.46,ARS,bonus
S000178,E1005,2025/10/01,1484358.91,ARS,normal
S000179,E1005,01/11/2025,1398992.72,ARS,normal
S000180,E1005,2025/12/01,1504859.31,ARS,normal
S000181,E1006,2023-01-01,2403.7,USD,normal
S000182,E1006,2023-02-01,2432.44,USD,normal
S000183,E1006,2023-03-01,2342.63,USD,normal
S000184,E1006,Apr 2023,2536.63,USD,normal
S000185,E1006,01/05/2023,2365.03,USD,normal
S000186,E1006,01/06/2023,2444.97,USD,normal
S000187,E1006,2023-07-01,2403.13,USD,normal
S000188,E1006,2023/08/01,2377.91,USD,normal
S000189,E1006,2023/09/01,2325.98,USD,normal
S000190,E1006,Oct 2023,2330.21,USD,normal
S000191,E1006,01/11/2023,2540.77,USD,normal
S000192,E1006,2023/12/01,2405.65,USD,normal
S000193,E1006,2024-01-01,2681.57,USD,normal
S000194,E1006,2024-02-01,2680.87,USD,normal
S000195,E1006,2024-03-01,2783.24,USD,normal
S000196,E1006,01/04/2024,2663.66,USD,normal
S000197,E1006,May 2024,2707.37,USD,normal
S000198,E1006,2024/06/01,2658.83,USD,normal
S000199,E1006,2024-07-01,2645.2,USD,normal
S000200,E1006,Aug 2024,2596.47,USD,normal
S000201,E1006,2024/09/01,2602.12,USD,normal
S000202,E1006,01/10/2024,2813.06,USD,normal
S000203,E1006,2024/11/01,2649.83,USD,normal
S000204,E1006,2024/12/01,1613.36,USD,bonus
S000205,E1006,2025/01/01,2994.27,USD,normal
S000206,E1006,Feb 2025,3098.58,USD,normal
S000207,E1006,2025/03/01,3104.52,USD,normal
S000208,E1006,Apr 2025,3102.82,USD,normal
S000209,E1006,01/05/2025,3002.04,USD,normal
S000210,E1006,Jun 2025,3095.65,USD,normal
S000211,E1006,2025-07-01,3129.12,USD,normal
S000212,E1006,Aug 2025,2940.31,USD,normal
S000213,E1006,01/09/2025,3054.82,USD,normal
S000214,E1006,01/10/2025,3029.49,USD,normal
S000215,E1006,2025-11-01,2949.49,USD,normal
S000216,E1006,Dec 2025,2886.66,USD,normal
S000217,E1007,01/01/2023,1932.88,USD,normal
S000218,E1007,Feb 2023,1907.52,USD,normal
S000219,E1007,2023-03-01,1948.63,USD,normal
S000220,E1007,2023/04/01,1964.28,USD,normal
S000221,E1007,2023-05-01,1944.75,USD,normal
S000222,E1007,2023-06-01,1866.03,USD,normal
S000223,E1007,2023/07/01,1954.35,USD,ajuste
S000224,E1007,2023/08/01,1907.61,USD,normal
S000225,E1007,2023/09/01,A confirmar,USD,normal
S000226,E1007,2023/10/01,A confirmar,USD,normal
S000227,E1007,01/11/2023,1598.14,USD,bonus
S000228,E1007,2023-12-01,1964.15,USD,normal
S000229,E1007,2024/01/01,2086.38,USD,normal
S000230,E1007,2024-02-01,$2143.31,USD,normal
S000231,E1007,01/03/2024,2079.3,USD,normal
S000232,E1007,2024-04-01,2124.82,USD,normal
S000233,E1007,2024/05/01,2065.94,USD,normal
S000234,E1007,Jun 2024,2130.0,USD,normal
S000235,E1007,01/07/2024,2079.39,USD,normal
S000236,E1007,Aug 2024,2086.08,USD,normal
S000237,E1007,2024/09/01,2139.53,USD,normal
S000238,E1007,2024/10/01,2213.08,USD,normal
S000239,E1007,2024-11-01,2104.14,USD,normal
S000240,E1007,2024-12-01,2112.16,USD,normal
S000241,E1007,2025/01/01,2380.54,USD,normal
S000242,E1007,2025/02/01,2486.41,USD,normal
S000243,E1007,2025-03-01,2276.25,USD,normal
S000244,E1007,2025/04/01,2464.08,USD,normal
S000245,E1007,2025-05-01,A confirmar,USD,normal
S000246,E1007,2025-06-01,2321.71,USD,normal
S000247,E1007,2025/07/01,2327.49,USD,normal
S000248,E1007,01/08/2025,2387.23,USD,normal
S000249,E1007,01/09/2025,2307.69,USD,normal
S000250,E1007,2025-10-01,2457.83,USD,normal
S000251,E1007,2025/11/01,1479.86,USD,bonus
S000252,E1007,01/12/2025,2417.77,USD,normal
S000253,E1008,Jan 2023,1840.98,USD,normal
S000254,E1008,2023-02-01,1720.47,USD,normal
S000255,E1008,2023-03-01,1721.04,USD,normal
S000256,E1008,Apr 2023,1760.52,USD,normal
S000257,E1008,2023-05-01,1700.85,USD,normal
S000258,E1008,2023-06-01,1803.61,USD,normal
S000259,E1008,2023/07/01,1756.23,USD,normal
S000260,E1008,2023/08/01,1587.82,USD,bonus
S000261,E1008,2023-09-01,1729.49,USD,normal
S000262,E1008,01/10/2023,1682.42,USD,normal
S000263,E1008,Nov 2023,1290.16,USD,bonus
S000264,E1008,Dec 2023,1753.58,USD,normal
S000265,E1008,2024/01/01,1951.87,USD,normal
S000266,E1008,01/02/2024,1968.05,USD,normal
S000267,E1008,2024-03-01,$1967.07,USD,normal
S000268,E1008,Apr 2024,2027.3,USD,normal
S000269,E1008,2024-05-01,1957.37,USD,normal
S000270,E1008,01/06/2024,1869.59,USD,normal
S000271,E1008,2024-07-01,1933.95,USD,normal
S000272,E1008,2024-08-01,1938.24,USD,normal
S000273,E1008,Sep 2024,1912.11,USD,normal
S000274,E1008,2024/10/01,1924.9,USD,normal
S000275,E1008,2024-11-01,2013.77,USD,normal
S000276,E1008,Dec 2024,1940.62,USD,normal
S000277,E1008,01/01/2025,2028.64,USD,normal
S000278,E1008,01/02/2025,2130.58,USD,normal
S000279,E1008,Mar 2025,2055.7,USD,normal
S000280,E1008,01/04/2025,2176.29,USD,normal
S000281,E1008,01/05/2025,2161.11,USD,normal
S000282,E1008,2025-06-01,2028.96,USD,normal
S000283,E1008,Jul 2025,2177.05,USD,normal
S000284,E1008,2025-08-01,2126.95,USD,normal
S000285,E1008,01/09/2025,2096.86,USD,normal
S000286,E1008,2025/10/01,2029.19,USD,normal
S000287,E1008,2025/11/01,2156.12,USD,normal
S000288,E1008,01/12/2025,2048.63,USD,normal
S000289,E1009,Dec 2023,4497.9,USD,normal
S000290,E1009,2024/01/01,4652.12,USD,normal
S000291,E1009,2024-02-01,4768.74,USD,normal
S000292,E1009,2024/03/01,4728.14,USD,normal
S000293,E1009,2024-04-01,4599.13,USD,normal
S000294,E1009,2024-05-01,4838.3,USD,normal
S000295,E1009,01/06/2024,4746.72,USD,normal
S000296,E1009,2024-07-01,4597.29,USD,normal
S000297,E1009,2024/08/01,4934.39,USD,normal
S000298,E1009,Sep 2024,4554.72,USD,normal
S000299,E1009,Oct 2024,4485.11,USD,normal
S000300,E1009,2024/11/01,4560.43,USD,normal
S000301,E1009,01/12/2024,A confirmar,USD,normal
S000302,E1009,01/01/2025,5156.9,USD,normal
S000303,E1009,2025-02-01,5286.44,USD,normal
S000304,E1009,Mar 2025,5238.59,USD,normal
S000305,E1009,Apr 2025,2806.92,USD,bonus
S000306,E1009,2025/05/01,5066.51,USD,normal
S000307,E1009,Jun 2025,5197.39,USD,ajuste
S000308,E1009,Jul 2025,5000.21,USD,normal
S000309,E1009,2025-08-01,3547.68,USD,bonus
S000310,E1009,2025-09-01,5155.49,USD,normal
S000311,E1009,Oct 2025,4965.11,USD,normal
S000312,E1009,Nov 2025,5205.25,USD,normal
S000313,E1009,Dec 2025,4878.33,USD,normal
S000314,E1010,01/01/2023,2551.55,USD,normal
S000315,E1010,2023-02-01,2584.06,USD,normal
S000316,E1010,01/03/2023,2638.65,USD,normal
S000317,E1010,Apr 2023,2519.47,USD,normal
S000318,E1010,01/05/2023,2672.01,USD,normal
S000319,E1010,2023/06/01,2467.56,USD,normal
S000320,E1010,2023/07/01,2599.83,USD,normal
S000321,E1010,Aug 2023,2492.48,USD,normal
S000322,E1010,2023/09/01,2544.67,USD,normal
S000323,E1010,2023/10/01,2519.37,USD,normal
S000324,E1010,2023-11-01,2518.67,USD,normal
S000325,E1010,Dec 2023,2564.75,USD,normal
S000326,E1010,2024/01/01,2890.35,USD,normal
S000327,E1010,2024-02-01,3027.32,USD,normal
S000328,E1010,2024/03/01,2977.84,USD,normal
S000329,E1010,2024/04/01,3028.41,USD,normal
S000330,E1010,May 2024,1809.35,USD,bonus
S000331,E1010,01/06/2024,2929.22,USD,normal
S000332,E1010,01/07/2024,3070.45,USD,normal
S000333,E1010,2024/08/01,3071.6,USD,normal
S000334,E1010,Sep 2024,2956.44,USD,normal
S000335,E1010,2024/10/01,2895.83,USD,normal
S000336,E1010,2024-11-01,3050.77,USD,normal
S000337,E1010,2024/12/01,2905.05,USD,normal
S000338,E1010,2025-01-01,3223.36,USD,normal
S000339,E1010,Feb 2025,3369.56,USD,normal
S000340,E1010,2025/03/01,3381.77,USD,normal
S000341,E1010,2025/04/01,3394.07,USD,normal
S000342,E1010,2025/05/01,3269.48,USD,normal
S000343,E1010,Jun 2025,3464.16,USD,normal
S000344,E1010,01/07/2025,3419.66,USD,normal
S000345,E1010,Aug 2025,3466.99,USD,normal
S000346,E1010,2025/09/01,3338.02,USD,normal
S000347,E1010,01/10/2025,3465.38,USD,normal
S000348,E1010,2025-11-01,3451.78,USD,normal
S000349,E1010,2025-12-01,3209.06,USD,normal
S000350,E1011,2024/02/01,2275.96,USD,normal
S000351,E1011,2024/03/01,2176.52,USD,normal
S000352,E1011,01/04/2024,2171.51,USD,normal
S000353,E1011,2024-05-01,2114.33,USD,normal
S000354,E1011,01/06/2024,2307.13,USD,normal
S000355,E1011,2024-07-01,2184.68,USD,normal
S000356,E1011,01/08/2024,2198.92,USD,normal
S000357,E1011,Sep 2024,2150.05,USD,normal
S000358,E1011,Oct 2024,2291.82,USD,normal
S000359,E1011,2024/11/01,$2209.18,USD,normal
S000360,E1011,Dec 2024,2307.48,USD,ajuste
S000361,E1011,Jan 2025,2461.25,USD,normal
S000362,E1011,Feb 2025,2406.86,USD,normal
S000363,E1011,2025/03/01,2356.47,USD,normal
S000364,E1011,Apr 2025,2504.07,USD,normal
S000365,E1011,01/05/2025,2351.17,USD,normal
S000366,E1011,2025/06/01,2499.86,USD,normal
S000367,E1011,01/07/2025,2550.93,USD,normal
S000368,E1011,01/08/2025,2521.28,USD,normal
S000369,E1011,01/09/2025,2397.27,USD,normal
S000370,E1011,Oct 2025,2424.16,USD,normal
S000371,E1011,2025-11-01,2355.7,USD,normal
S000372,E1011,Dec 2025,2510.31,USD,normal
S000373,E1012,2023/01/01,3741.75,USD,ajuste
S000374,E1012,Feb 2023,3642.2,USD,normal
S000375,E1012,Mar 2023,3613.27,USD,normal
S000376,E1012,2023-04-01,3671.71,USD,normal
S000377,E1012,2023/05/01,3774.58,USD,normal
S000378,E1012,2023-06-01,3753.32,USD,normal
S000379,E1012,2023-07-01,3618.29,USD,normal
S000380,E1012,01/08/2023,3742.39,USD,normal
S000381,E1012,2023-09-01,3636.3,USD,normal
S000382,E1012,Oct 2023,3838.19,USD,normal
S000383,E1012,2023/11/01,3990.17,USD,normal
S000384,E1012,01/12/2023,2667.54,USD,bonus
S000385,E1012,2024-01-01,4001.82,USD,normal
S000386,E1012,Feb 2024,4150.58,USD,normal
S000387,E1012,2024-03-01,3819.15,USD,normal
S000388,E1012,2024/04/01,3966.68,USD,normal
S000389,E1012,2024-05-01,3882.16,USD,normal
S000390,E1012,01/06/2024,3907.96,USD,normal
S000391,E1012,Jul 2024,4047.04,USD,normal
S000392,E1012,Aug 2024,3879.87,USD,normal
S000393,E1012,01/09/2024,3963.87,USD,normal
S000394,E1012,Oct 2024,4173.21,USD,normal
S000395,E1012,2024/11/01,3844.14,USD,normal
S000396,E1012,2024-12-01,4089.39,USD,normal
S000397,E1012,2025-01-01,4482.59,USD,normal
S000398,E1012,Feb 2025,4494.73,USD,normal
S000399,E1012,2025-03-01,4770.05,USD,normal
S000400,E1012,2025/04/01,4525.47,USD,normal
S000401,E1012,May 2025,4532.4,USD,normal
S000402,E1012,2025/06/01,3180.82,USD,bonus
S000403,E1012,2025-07-01,4413.24,USD,normal
S000404,E1012,2025/08/01,4779.67,USD,normal
S000405,E1012,Sep 2025,4535.67,USD,normal
S000406,E1012,01/10/2025,4695.22,USD,normal
S000407,E1012,2025-11-01,4563.65,USD,normal
S000408,E1012,01/12/2025,4672.56,USD,normal
S000409,E1013,2023-10-01,456639.3,ARS,normal
S000410,E1013,2023/11/01,454988.8,ARS,normal
S000411,E1013,2023-12-01,452714.84,ARS,normal
S000412,E1013,2024-01-01,526950.9,ARS,normal
S000413,E1013,01/02/2024,496904.44,ARS,normal
S000414,E1013,2024/03/01,486775.11,ARS,normal
S000415,E1013,2024-04-01,505488.13,ARS,normal
S000416,E1013,2024-05-01,$503271.03,ARS,normal
S000417,E1013,Jun 2024,513473.39,ARS,normal
S000418,E1013,Jul 2024,505952.59,ARS,normal
S000419,E1013,2024/08/01,505863.77,ARS,normal
S000420,E1013,01/09/2024,A confirmar,ARS,normal
S000421,E1013,Oct 2024,514970.38,ARS,normal
S000422,E1013,2024/11/01,528346.43,ARS,normal
S000423,E1013,01/12/2024,488204.66,ARS,normal
S000424,E1013,Jan 2025,572482.84,ARS,normal
S000425,E1013,2025-02-01,575603.54,ARS,normal
S000426,E1013,01/03/2025,$582214.25,ARS,normal
S000427,E1013,2025/04/01,559776.69,ARS,normal
S000428,E1013,01/05/2025,580263.85,ARS,normal
S000429,E1013,Jun 2025,534738.35,ARS,normal
S000430,E1013,01/07/2025,579971.41,ARS,ajuste
S000431,E1013,01/08/2025,554187.37,ARS,ajuste
S000432,E1013,Sep 2025,557497.56,ARS,normal
S000433,E1013,Oct 2025,540158.1,ARS,normal
S000434,E1013,01/11/2025,568528.13,ARS,normal
S000435,E1013,Dec 2025,535398.25,ARS,normal
S000436,E1014,Jan 2023,5479.18,USD,normal
S000437,E1014,2023/02/01,5173.42,USD,normal
S000438,E1014,01/03/2023,5520.08,USD,normal
S000439,E1014,Apr 2023,5149.49,USD,normal
S000440,E1014,01/05/2023,5359.82,USD,normal
S000441,E1014,Jun 2023,5538.46,USD,normal
S000442,E1014,Jul 2023,5340.42,USD,normal
S000443,E1014,2023/08/01,5225.45,USD,normal
S000444,E1014,01/09/2023,5464.85,USD,normal
S000445,E1014,2023-10-01,5211.63,USD,normal
S000446,E1014,2023/11/01,5319.21,USD,normal
S000447,E1014,2023-12-01,5571.69,USD,normal
S000448,E1014,2024-01-01,5635.63,USD,normal
S000449,E1014,Feb 2024,5623.3,USD,normal
S000450,E1014,2024-03-01,5999.58,USD,normal
S000451,E1014,Apr 2024,5681.98,USD,normal
S000452,E1014,01/05/2024,5657.52,USD,normal
S000453,E1014,2024-06-01,5772.58,USD,normal
S000454,E1014,01/07/2024,5819.01,USD,normal
S000455,E1014,2024-08-01,5976.03,USD,normal
S000456,E1014,Sep 2024,5973.39,USD,normal
S000457,E1014,01/10/2024,5620.6,USD,normal
S000458,E1014,2024-11-01,6007.98,USD,normal
S000459,E1014,2024/12/01,5572.83,USD,normal
S000460,E1014,2025/01/01,6685.95,USD,normal
S000461,E1014,2025/02/01,6302.33,USD,normal
S000462,E1014,Mar 2025,6318.15,USD,normal
S000463,E1014,2025/04/01,6370.8,USD,normal
S000464,E1014,2025-05-01,6456.23,USD,normal
S000465,E1014,2025-06-01,6695.47,USD,normal
S000466,E1014,Jul 2025,6271.24,USD,normal
S000467,E1014,2025-08-01,6450.95,USD,normal
S000468,E1014,Sep 2025,6457.2,USD,normal
S000469,E1014,Oct 2025,6798.75,USD,normal
S000470,E1014,2025-11-01,A confirmar,USD,normal
S000471,E1014,2025-12-01,6552.62,USD,normal
S000472,E1015,01/12/2024,555811.73,ARS,normal
S000473,E1015,2025-01-01,580533.72,ARS,normal
S000474,E1015,2025-02-01,597318.09,ARS,ajuste
S000475,E1015,2025/03/01,613168.04,ARS,normal
S000476,E1015,Apr 2025,583722.3,ARS,normal
S000477,E1015,May 2025,596681.32,ARS,normal
S000478,E1015,2025/06/01,618091.72,ARS,normal
S000479,E1015,2025/07/01,612365.12,ARS,normal
S000480,E1015,2025/08/01,589540.62,ARS,normal
S000481,E1015,01/09/2025,602739.24,ARS,normal
S000482,E1015,01/10/2025,619215.68,ARS,normal
S000483,E1015,2025-11-01,574180.04,ARS,normal
S000484,E1015,01/12/2025,604372.0,ARS,normal
S000485,E1016,01/01/2023,5072.75,USD,ajuste
S000486,E1016,Feb 2023,5205.58,USD,normal
S000487,E1016,2023-03-01,5017.69,USD,normal
S000488,E1016,01/04/2023,5144.95,USD,normal
S000489,E1016,01/05/2023,5120.69,USD,normal
S000490,E1016,2023/06/01,4943.9,USD,normal
S000491,E1016,Jul 2023,5172.7,USD,normal
S000492,E1016,Aug 2023,4852.89,USD,normal
S000493,E1016,Sep 2023,4971.72,USD,normal
S000494,E1016,2023-10-01,5025.14,USD,normal
S000495,E1016,Nov 2023,5095.27,USD,normal
S000496,E1016,2023-12-01,5283.89,USD,normal
S000497,E1016,01/01/2024,5457.7,USD,normal
S000498,E1016,01/02/2024,5551.04,USD,normal
S000499,E1016,2024/03/01,5474.78,USD,normal
S000500,E1016,2024-04-01,5123.55,USD,normal
S000501,E1016,01/05/2024,5387.3,USD,normal
S000502,E1016,2024-06-01,5627.06,USD,normal
S000503,E1016,01/07/2024,5621.14,USD,normal
S000504,E1016,2024/08/01,5203.25,USD,normal
S000505,E1016,Sep 2024,5209.34,USD,normal
S000506,E1016,2024-10-01,5432.44,USD,normal
S000507,E1016,2024/11/01,5220.35,USD,normal
S000508,E1016,2024-12-01,5596.59,USD,normal
S000509,E1016,2025-01-01,5790.51,USD,normal
S000510,E1016,Feb 2025,5712.23,USD,normal
S000511,E1016,2025/03/01,5949.55,USD,normal
S000512,E1016,2025-04-01,5837.25,USD,normal
S000513,E1016,2025-05-01,5933.4,USD,normal
S000514,E1016,2025-06-01,5522.42,USD,normal
S000515,E1016,Jul 2025,5787.75,USD,normal
S000516,E1016,Aug 2025,5748.32,USD,normal
S000517,E1016,2025/09/01,5571.74,USD,normal
S000518,E1016,Oct 2025,5689.67,USD,normal
S000519,E1016,2025/11/01,5743.92,USD,ajuste
S000520,E1016,2025/12/01,5840.91,USD,normal
S000521,E1017,2023-01-01,1316.85,USD,normal
S000522,E1017,01/02/2023,1227.87,USD,normal
S000523,E1017,Mar 2023,1249.89,USD,normal
S000524,E1017,Apr 2023,1342.24,USD,normal
S000525,E1017,2023/05/01,A confirmar,USD,bonus
S000526,E1017,Jun 2023,1335.37,USD,normal
S000527,E1017,01/07/2023,1305.63,USD,normal
S000528,E1017,2023-08-01,1341.12,USD,normal
